,OVERALL,Player Name,SEASON 1,SEASON 2,SEASON 3,SEASON 4,SEASON 5,SEASON 6,SEASON 7,Team
SUCCESSFUL RAIDS %,1.66,vishal-bhardwaj,,,,100,0,0,0,Telugu Titans
NO OF SUPER RAIDS,0,vishal-bhardwaj,,,,0,0,0,0,Telugu Titans
SUPER 10S,0,vishal-bhardwaj,,,,0,0,0,0,Telugu Titans
TOTAL RAID POINTS,1,vishal-bhardwaj,,,,1,0,0,0,Telugu Titans
AVERAGE RAID POINTS / MATCH,0.01,vishal-bhardwaj,,,,0.5,0,0,0,Telugu Titans
NO OF SUPER TACKLES,21,vishal-bhardwaj,,,,0,3,9,9,Telugu Titans
HIGH 5S,15,vishal-bhardwaj,,,,0,5,5,5,Telugu Titans
TOTAL TACKLE POINTS,196,vishal-bhardwaj,,,,6,71,60,59,Telugu Titans
AVERAGE TACKLE / MATCH,3.01,vishal-bhardwaj,,,,3,3.09,3,2.94,Telugu Titans
TOTAL TACKLES,347,vishal-bhardwaj,,,,15,137,95,100,Telugu Titans
TACKLE STRIKE RATE,56.48 %,vishal-bhardwaj,,,,40 %,51.82 %,63.15 %,59 %,Telugu Titans
MATCHES PLAYED,10,armaan,,,,,,4,6,Telugu Titans
TOTAL POINTS EARNED,24,armaan,,,,,,15,9,Telugu Titans
MOST POINTS IN A MATCH,13,armaan,,,,,,13,4,Telugu Titans
NOT OUT %,61.81 %,armaan,,,,,,65.21 %,59.37 %,Telugu Titans
TOTAL RAIDS,55,armaan,,,,,,23,32,Telugu Titans
SUCCESSFUL RAIDS %,40,armaan,,,,,,56.52,28.12,Telugu Titans
NO OF SUPER RAIDS,2,armaan,,,,,,1,1,Telugu Titans
SUPER 10S,1,armaan,,,,,,1,0,Telugu Titans
TOTAL RAID POINTS,22,armaan,,,,,,13,9,Telugu Titans
AVERAGE RAID POINTS / MATCH,2.2,armaan,,,,,,3.25,1.5,Telugu Titans
NO OF SUPER TACKLES,1,armaan,,,,,,1,0,Telugu Titans
HIGH 5S,0,armaan,,,,,,0,0,Telugu Titans
TOTAL TACKLE POINTS,2,armaan,,,,,,2,0,Telugu Titans
AVERAGE TACKLE / MATCH,0.1,armaan,,,,,,0.25,0,Telugu Titans
TOTAL TACKLES,8,armaan,,,,,,1,7,Telugu Titans
TACKLE STRIKE RATE,25 %,armaan,,,,,,200 %,0,Telugu Titans
MATCHES PLAYED,57,farhad-milaghardan,,,,,18,22,17,Telugu Titans
TOTAL POINTS EARNED,123,farhad-milaghardan,,,,,28,47,48,Telugu Titans
MOST POINTS IN A MATCH,5,farhad-milaghardan,,,,,4,5,5,Telugu Titans
NOT OUT %,80.4 %,farhad-milaghardan,,,,,61.11 %,81.66 %,84.28 %,Telugu Titans
TOTAL RAIDS,148,farhad-milaghardan,,,,,18,60,70,Telugu Titans
SUCCESSFUL RAIDS %,35.81,farhad-milaghardan,,,,,33.33,36.66,35.71,Telugu Titans
NO OF SUPER RAIDS,0,farhad-milaghardan,,,,,0,0,0,Telugu Titans
SUPER 10S,0,farhad-milaghardan,,,,,0,0,0,Telugu Titans
TOTAL RAID POINTS,53,farhad-milaghardan,,,,,6,22,25,Telugu Titans
AVERAGE RAID POINTS / MATCH,0.92,farhad-milaghardan,,,,,0.33,1,1.47,Telugu Titans
NO OF SUPER TACKLES,4,farhad-milaghardan,,,,,0,4,0,Telugu Titans
HIGH 5S,1,farhad-milaghardan,,,,,0,1,0,Telugu Titans
TOTAL TACKLE POINTS,70,farhad-milaghardan,,,,,22,25,23,Telugu Titans
AVERAGE TACKLE / MATCH,1.15,farhad-milaghardan,,,,,1.22,0.95,1.35,Telugu Titans
TOTAL TACKLES,183,farhad-milaghardan,,,,,54,69,60,Telugu Titans
TACKLE STRIKE RATE,38.25 %,farhad-milaghardan,,,,,40.74 %,36.23 %,38.33 %,Telugu Titans
MATCHES PLAYED,96,fazel-atrachali,,5,11,16,24,23,17,U Mumba
TOTAL POINTS EARNED,294,fazel-atrachali,,12,33,52,57,83,57,U Mumba
MOST POINTS IN A MATCH,9,fazel-atrachali,,7,6,8,9,7,6,U Mumba
NOT OUT %,88.63 %,fazel-atrachali,,75 %,50 %,100 %,81.81 %,100 %,91.66 %,U Mumba
TOTAL RAIDS,44,fazel-atrachali,,4,2,1,11,14,12,U Mumba
SUCCESSFUL RAIDS %,9.09,fazel-atrachali,,25,50,0,0,0,16.66,U Mumba
NO OF SUPER RAIDS,0,fazel-atrachali,,0,0,0,0,0,0,U Mumba
SUPER 10S,0,fazel-atrachali,,0,0,0,0,0,0,U Mumba
TOTAL RAID POINTS,4,fazel-atrachali,,1,1,0,0,0,2,U Mumba
AVERAGE RAID POINTS / MATCH,0.04,fazel-atrachali,,0.2,0.09,0,0,0,0.11,U Mumba
NO OF SUPER TACKLES,18,fazel-atrachali,,2,0,7,3,3,3,U Mumba
HIGH 5S,19,fazel-atrachali,,1,2,4,4,6,2,U Mumba
TOTAL TACKLE POINTS,290,fazel-atrachali,,11,32,52,57,83,55,U Mumba
AVERAGE TACKLE / MATCH,2.83,fazel-atrachali,,1.8,2.9,2.81,2.25,3.47,3.05,U Mumba
TOTAL TACKLES,452,fazel-atrachali,,13,46,72,99,130,92,U Mumba
TACKLE STRIKE RATE,64.15 %,fazel-atrachali,,84.61 %,69.56 %,72.22 %,57.57 %,63.84 %,59.78 %,U Mumba
MATCHES PLAYED,30,abhishek-singh,,,,,,15,15,U Mumba
TOTAL POINTS EARNED,152,abhishek-singh,,,,,,53,99,U Mumba
MOST POINTS IN A MATCH,13,abhishek-singh,,,,,,13,13,U Mumba
NOT OUT %,81.87 %,abhishek-singh,,,,,,82.05 %,81.77 %,U Mumba
TOTAL RAIDS,331,abhishek-singh,,,,,,117,214,U Mumba
SUCCESSFUL RAIDS %,43.8,abhishek-singh,,,,,,40.17,45.79,U Mumba
NO OF SUPER RAIDS,3,abhishek-singh,,,,,,1,2,U Mumba
SUPER 10S,7,abhishek-singh,,,,,,2,5,U Mumba
TOTAL RAID POINTS,145,abhishek-singh,,,,,,47,98,U Mumba
AVERAGE RAID POINTS / MATCH,4.83,abhishek-singh,,,,,,3.13,6.53,U Mumba
NO OF SUPER TACKLES,0,abhishek-singh,,,,,,0,0,U Mumba
HIGH 5S,0,abhishek-singh,,,,,,0,0,U Mumba
TOTAL TACKLE POINTS,7,abhishek-singh,,,,,,6,1,U Mumba
AVERAGE TACKLE / MATCH,0.23,abhishek-singh,,,,,,0.4,0.06,U Mumba
TOTAL TACKLES,31,abhishek-singh,,,,,,19,12,U Mumba
TACKLE STRIKE RATE,22.58 %,abhishek-singh,,,,,,31.57 %,8.33 %,U Mumba
MATCHES PLAYED,19,arjun-deshwal,,,,,,3,16,U Mumba
TOTAL POINTS EARNED,82,arjun-deshwal,,,,,,4,78,U Mumba
MOST POINTS IN A MATCH,15,arjun-deshwal,,,,,,4,15,U Mumba
NOT OUT %,75.47 %,arjun-deshwal,,,,,,72.72 %,75.67 %,U Mumba
TOTAL RAIDS,159,arjun-deshwal,,,,,,11,148,U Mumba
SUCCESSFUL RAIDS %,50.31,arjun-deshwal,,,,,,36.36,51.35,U Mumba
NO OF SUPER RAIDS,2,arjun-deshwal,,,,,,0,2,U Mumba
SUPER 10S,2,arjun-deshwal,,,,,,0,2,U Mumba
TOTAL RAID POINTS,80,arjun-deshwal,,,,,,4,76,U Mumba
AVERAGE RAID POINTS / MATCH,4.21,arjun-deshwal,,,,,,1.33,4.75,U Mumba
NO OF SUPER TACKLES,0,arjun-deshwal,,,,,,0,0,U Mumba
HIGH 5S,0,arjun-deshwal,,,,,,0,0,U Mumba
TOTAL TACKLE POINTS,2,arjun-deshwal,,,,,,0,2,U Mumba
AVERAGE TACKLE / MATCH,0.1,arjun-deshwal,,,,,,0,0.12,U Mumba
TOTAL TACKLES,5,arjun-deshwal,,,,,,0,5,U Mumba
TACKLE STRIKE RATE,40 %,arjun-deshwal,,,,,,0,40 %,U Mumba
MATCHES PLAYED,36,athul-ms,,,,4,0,19,13,U Mumba
TOTAL POINTS EARNED,100,athul-ms,,,,8,0,56,36,U Mumba
MOST POINTS IN A MATCH,8,athul-ms,,,,7,0,8,8,U Mumba
NOT OUT %,62.44 %,athul-ms,,,,57.14 %,0,60 %,65.95 %,U Mumba
TOTAL RAIDS,213,athul-ms,,,,14,0,105,94,U Mumba
SUCCESSFUL RAIDS %,46.47,athul-ms,,,,57.14,0,52.38,38.29,U Mumba
NO OF SUPER RAIDS,0,athul-ms,,,,0,0,0,0,U Mumba
SUPER 10S,0,athul-ms,,,,0,0,0,0,U Mumba
TOTAL RAID POINTS,99,athul-ms,,,,8,0,55,36,U Mumba
AVERAGE RAID POINTS / MATCH,2.75,athul-ms,,,,2,0,2.89,2.76,U Mumba
NO OF SUPER TACKLES,0,athul-ms,,,,0,0,0,0,U Mumba
HIGH 5S,0,athul-ms,,,,0,0,0,0,U Mumba
TOTAL TACKLE POINTS,1,athul-ms,,,,0,0,1,0,U Mumba
AVERAGE TACKLE / MATCH,0.02,athul-ms,,,,0,0,0.05,0,U Mumba
TOTAL TACKLES,20,athul-ms,,,,1,0,16,3,U Mumba
TACKLE STRIKE RATE,5 %,athul-ms,,,,0,0,6.25 %,0,U Mumba
MATCHES PLAYED,32,dong-geon-lee,,,,,17,11,4,U Mumba
TOTAL POINTS EARNED,70,dong-geon-lee,,,,,29,31,10,U Mumba
MOST POINTS IN A MATCH,10,dong-geon-lee,,,,,5,10,6,U Mumba
NOT OUT %,73.41 %,dong-geon-lee,,,,,70.58 %,76.92 %,72 %,U Mumba
TOTAL RAIDS,158,dong-geon-lee,,,,,68,65,25,U Mumba
SUCCESSFUL RAIDS %,44.3,dong-geon-lee,,,,,42.64,47.69,40,U Mumba
NO OF SUPER RAIDS,1,dong-geon-lee,,,,,0,1,0,U Mumba
SUPER 10S,1,dong-geon-lee,,,,,0,1,0,U Mumba
TOTAL RAID POINTS,70,dong-geon-lee,,,,,29,31,10,U Mumba
AVERAGE RAID POINTS / MATCH,2.18,dong-geon-lee,,,,,1.7,2.81,2.5,U Mumba
NO OF SUPER TACKLES,0,dong-geon-lee,,,,,0,0,0,U Mumba
HIGH 5S,0,dong-geon-lee,,,,,0,0,0,U Mumba
TOTAL TACKLE POINTS,0,dong-geon-lee,,,,,0,0,0,U Mumba
AVERAGE TACKLE / MATCH,0,dong-geon-lee,,,,,0,0,0,U Mumba
TOTAL TACKLES,6,dong-geon-lee,,,,,5,1,0,U Mumba
TACKLE STRIKE RATE,0,dong-geon-lee,,,,,0,0,0,U Mumba
MATCHES PLAYED,3,gaurav-kumar,,,,,,3,0,U Mumba
TOTAL POINTS EARNED,2,gaurav-kumar,,,,,,2,0,U Mumba
MOST POINTS IN A MATCH,2,gaurav-kumar,,,,,,2,0,U Mumba
NOT OUT %,50 %,gaurav-kumar,,,,,,50 %,0,U Mumba
TOTAL RAIDS,10,gaurav-kumar,,,,,,10,0,U Mumba
SUCCESSFUL RAIDS %,20,gaurav-kumar,,,,,,20,0,U Mumba
NO OF SUPER RAIDS,0,gaurav-kumar,,,,,,0,0,U Mumba
SUPER 10S,0,gaurav-kumar,,,,,,0,0,U Mumba
TOTAL RAID POINTS,2,gaurav-kumar,,,,,,2,0,U Mumba
AVERAGE RAID POINTS / MATCH,0.66,gaurav-kumar,,,,,,0.66,0,U Mumba
NO OF SUPER TACKLES,0,gaurav-kumar,,,,,,0,0,U Mumba
HIGH 5S,0,gaurav-kumar,,,,,,0,0,U Mumba
TOTAL TACKLE POINTS,0,gaurav-kumar,,,,,,0,0,U Mumba
AVERAGE TACKLE / MATCH,0,gaurav-kumar,,,,,,0,0,U Mumba
TOTAL TACKLES,0,gaurav-kumar,,,,,,0,0,U Mumba
TACKLE STRIKE RATE,0,gaurav-kumar,,,,,,0,0,U Mumba
MATCHES PLAYED,0,navneet,,,,,,,0,U Mumba
TOTAL POINTS EARNED,0,navneet,,,,,,,0,U Mumba
MOST POINTS IN A MATCH,0,navneet,,,,,,,0,U Mumba
NOT OUT %,0,navneet,,,,,,,0,U Mumba
TOTAL RAIDS,0,navneet,,,,,,,0,U Mumba
SUCCESSFUL RAIDS %,0,navneet,,,,,,,0,U Mumba
NO OF SUPER RAIDS,0,navneet,,,,,,,0,U Mumba
SUPER 10S,0,navneet,,,,,,,0,U Mumba
TOTAL RAID POINTS,0,navneet,,,,,,,0,U Mumba
AVERAGE RAID POINTS / MATCH,0,navneet,,,,,,,0,U Mumba
NO OF SUPER TACKLES,0,navneet,,,,,,,0,U Mumba
HIGH 5S,0,navneet,,,,,,,0,U Mumba
TOTAL TACKLE POINTS,0,navneet,,,,,,,0,U Mumba
AVERAGE TACKLE / MATCH,0,navneet,,,,,,,0,U Mumba
TOTAL TACKLES,0,navneet,,,,,,,0,U Mumba
TACKLE STRIKE RATE,0,navneet,,,,,,,0,U Mumba
MATCHES PLAYED,66,rohit-baliyan,,5,11,0,17,19,14,U Mumba
TOTAL POINTS EARNED,294,rohit-baliyan,,12,56,0,74,108,44,U Mumba
MOST POINTS IN A MATCH,11,rohit-baliyan,,7,11,0,11,11,9,U Mumba
NOT OUT %,80.78 %,rohit-baliyan,,76 %,81.3 %,0,79.39 %,83.51 %,79.03 %,U Mumba
TOTAL RAIDS,609,rohit-baliyan,,25,107,0,165,188,124,U Mumba
SUCCESSFUL RAIDS %,43.51,rohit-baliyan,,48,50.46,0,39.39,50,32.25,U Mumba
NO OF SUPER RAIDS,6,rohit-baliyan,,0,2,0,1,1,2,U Mumba
SUPER 10S,3,rohit-baliyan,,0,2,0,1,0,0,U Mumba
TOTAL RAID POINTS,265,rohit-baliyan,,12,54,0,65,94,40,U Mumba
AVERAGE RAID POINTS / MATCH,4.01,rohit-baliyan,,2.4,4.9,0,3.82,4.94,2.85,U Mumba
NO OF SUPER TACKLES,2,rohit-baliyan,,0,0,0,0,1,1,U Mumba
HIGH 5S,0,rohit-baliyan,,0,0,0,0,0,0,U Mumba
TOTAL TACKLE POINTS,29,rohit-baliyan,,0,2,0,9,14,4,U Mumba
AVERAGE TACKLE / MATCH,0.4,rohit-baliyan,,0,0.18,0,0.52,0.68,0.21,U Mumba
TOTAL TACKLES,91,rohit-baliyan,,4,17,0,28,32,10,U Mumba
TACKLE STRIKE RATE,31.86 %,rohit-baliyan,,0,11.76 %,0,32.14 %,43.75 %,40 %,U Mumba
MATCHES PLAYED,17,vinoth-kumar,0,2,7,3,4,0,1,U Mumba
TOTAL POINTS EARNED,30,vinoth-kumar,0,0,16,8,6,0,0,U Mumba
MOST POINTS IN A MATCH,5,vinoth-kumar,0,0,5,4,4,0,0,U Mumba
NOT OUT %,64.89 %,vinoth-kumar,0,33.33 %,62.5 %,58.33 %,82.6 %,0,50 %,U Mumba
TOTAL RAIDS,94,vinoth-kumar,0,3,40,24,23,0,4,U Mumba
SUCCESSFUL RAIDS %,31.91,vinoth-kumar,0,0,40,33.33,26.08,0,0,U Mumba
NO OF SUPER RAIDS,0,vinoth-kumar,0,0,0,0,0,0,0,U Mumba
SUPER 10S,0,vinoth-kumar,0,0,0,0,0,0,0,U Mumba
TOTAL RAID POINTS,30,vinoth-kumar,0,0,16,8,6,0,0,U Mumba
AVERAGE RAID POINTS / MATCH,1.76,vinoth-kumar,0,0,2.28,2.66,1.5,0,0,U Mumba
NO OF SUPER TACKLES,0,vinoth-kumar,0,0,0,0,0,0,0,U Mumba
HIGH 5S,0,vinoth-kumar,0,0,0,0,0,0,0,U Mumba
TOTAL TACKLE POINTS,0,vinoth-kumar,0,0,0,0,0,0,0,U Mumba
AVERAGE TACKLE / MATCH,0,vinoth-kumar,0,0,0,0,0,0,0,U Mumba
TOTAL TACKLES,6,vinoth-kumar,0,0,2,1,2,0,1,U Mumba
TACKLE STRIKE RATE,0,vinoth-kumar,0,0,0,0,0,0,0,U Mumba
MATCHES PLAYED,45,rajaguru-subramanian,14,12,7,,,8,4,U Mumba
TOTAL POINTS EARNED,55,rajaguru-subramanian,19,18,6,,,10,2,U Mumba
MOST POINTS IN A MATCH,4,rajaguru-subramanian,4,3,2,,,2,2,U Mumba
NOT OUT %,85.71 %,rajaguru-subramanian,0,50 %,100 %,,,0,100 %,U Mumba
TOTAL RAIDS,7,rajaguru-subramanian,0,2,3,,,0,2,U Mumba
SUCCESSFUL RAIDS %,14.28,rajaguru-subramanian,0,50,0,,,0,0,U Mumba
NO OF SUPER RAIDS,0,rajaguru-subramanian,0,0,0,,,0,0,U Mumba
SUPER 10S,0,rajaguru-subramanian,0,0,0,,,0,0,U Mumba
TOTAL RAID POINTS,1,rajaguru-subramanian,0,1,0,,,0,0,U Mumba
AVERAGE RAID POINTS / MATCH,0.02,rajaguru-subramanian,0,0.08,0,,,0,0,U Mumba
NO OF SUPER TACKLES,3,rajaguru-subramanian,1,2,0,,,0,0,U Mumba
HIGH 5S,0,rajaguru-subramanian,0,0,0,,,0,0,U Mumba
TOTAL TACKLE POINTS,54,rajaguru-subramanian,19,17,6,,,10,2,U Mumba
AVERAGE TACKLE / MATCH,1.13,rajaguru-subramanian,1.28,1.25,0.85,,,1.25,0.5,U Mumba
TOTAL TACKLES,145,rajaguru-subramanian,55,42,22,,,21,5,U Mumba
TACKLE STRIKE RATE,37.24 %,rajaguru-subramanian,34.54 %,40.47 %,27.27 %,,,47.61 %,40 %,U Mumba
MATCHES PLAYED,6,harsh-vardhan,,,,,,,6,U Mumba
TOTAL POINTS EARNED,0,harsh-vardhan,,,,,,,0,U Mumba
MOST POINTS IN A MATCH,0,harsh-vardhan,,,,,,,0,U Mumba
NOT OUT %,0,harsh-vardhan,,,,,,,0,U Mumba
TOTAL RAIDS,0,harsh-vardhan,,,,,,,0,U Mumba
SUCCESSFUL RAIDS %,0,harsh-vardhan,,,,,,,0,U Mumba
NO OF SUPER RAIDS,0,harsh-vardhan,,,,,,,0,U Mumba
SUPER 10S,0,harsh-vardhan,,,,,,,0,U Mumba
TOTAL RAID POINTS,0,harsh-vardhan,,,,,,,0,U Mumba
AVERAGE RAID POINTS / MATCH,0,harsh-vardhan,,,,,,,0,U Mumba
NO OF SUPER TACKLES,0,harsh-vardhan,,,,,,,0,U Mumba
HIGH 5S,0,harsh-vardhan,,,,,,,0,U Mumba
TOTAL TACKLE POINTS,0,harsh-vardhan,,,,,,,0,U Mumba
AVERAGE TACKLE / MATCH,0,harsh-vardhan,,,,,,,0,U Mumba
TOTAL TACKLES,2,harsh-vardhan,,,,,,,2,U Mumba
TACKLE STRIKE RATE,0,harsh-vardhan,,,,,,,0,U Mumba
MATCHES PLAYED,1,anil,,,,,,1,0,U Mumba
TOTAL POINTS EARNED,0,anil,,,,,,0,0,U Mumba
MOST POINTS IN A MATCH,0,anil,,,,,,0,0,U Mumba
NOT OUT %,100 %,anil,,,,,,100 %,0,U Mumba
TOTAL RAIDS,2,anil,,,,,,2,0,U Mumba
SUCCESSFUL RAIDS %,0,anil,,,,,,0,0,U Mumba
NO OF SUPER RAIDS,0,anil,,,,,,0,0,U Mumba
SUPER 10S,0,anil,,,,,,0,0,U Mumba
TOTAL RAID POINTS,0,anil,,,,,,0,0,U Mumba
AVERAGE RAID POINTS / MATCH,0,anil,,,,,,0,0,U Mumba
NO OF SUPER TACKLES,0,anil,,,,,,0,0,U Mumba
HIGH 5S,0,anil,,,,,,0,0,U Mumba
TOTAL TACKLE POINTS,0,anil,,,,,,0,0,U Mumba
AVERAGE TACKLE / MATCH,0,anil,,,,,,0,0,U Mumba
TOTAL TACKLES,0,anil,,,,,,0,0,U Mumba
TACKLE STRIKE RATE,0,anil,,,,,,0,0,U Mumba
MATCHES PLAYED,15,harendra-kumar,,,,,,,15,U Mumba
TOTAL POINTS EARNED,17,harendra-kumar,,,,,,,17,U Mumba
MOST POINTS IN A MATCH,5,harendra-kumar,,,,,,,5,U Mumba
NOT OUT %,0,harendra-kumar,,,,,,,0,U Mumba
TOTAL RAIDS,0,harendra-kumar,,,,,,,0,U Mumba
SUCCESSFUL RAIDS %,0,harendra-kumar,,,,,,,0,U Mumba
NO OF SUPER RAIDS,0,harendra-kumar,,,,,,,0,U Mumba
SUPER 10S,0,harendra-kumar,,,,,,,0,U Mumba
TOTAL RAID POINTS,0,harendra-kumar,,,,,,,0,U Mumba
AVERAGE RAID POINTS / MATCH,0,harendra-kumar,,,,,,,0,U Mumba
NO OF SUPER TACKLES,1,harendra-kumar,,,,,,,1,U Mumba
HIGH 5S,1,harendra-kumar,,,,,,,1,U Mumba
TOTAL TACKLE POINTS,17,harendra-kumar,,,,,,,17,U Mumba
AVERAGE TACKLE / MATCH,1.06,harendra-kumar,,,,,,,1.06,U Mumba
TOTAL TACKLES,51,harendra-kumar,,,,,,,51,U Mumba
TACKLE STRIKE RATE,33.33 %,harendra-kumar,,,,,,,33.33 %,U Mumba
MATCHES PLAYED,37,young-chang-ko,,,,,14,13,10,U Mumba
TOTAL POINTS EARNED,23,young-chang-ko,,,,,2,15,6,U Mumba
MOST POINTS IN A MATCH,5,young-chang-ko,,,,,1,5,4,U Mumba
NOT OUT %,0,young-chang-ko,,,,,0,0,0,U Mumba
TOTAL RAIDS,0,young-chang-ko,,,,,0,0,0,U Mumba
SUCCESSFUL RAIDS %,0,young-chang-ko,,,,,0,0,0,U Mumba
NO OF SUPER RAIDS,0,young-chang-ko,,,,,0,0,0,U Mumba
SUPER 10S,0,young-chang-ko,,,,,0,0,0,U Mumba
TOTAL RAID POINTS,0,young-chang-ko,,,,,0,0,0,U Mumba
AVERAGE RAID POINTS / MATCH,0,young-chang-ko,,,,,0,0,0,U Mumba
NO OF SUPER TACKLES,6,young-chang-ko,,,,,0,4,2,U Mumba
HIGH 5S,1,young-chang-ko,,,,,0,1,0,U Mumba
TOTAL TACKLE POINTS,23,young-chang-ko,,,,,2,15,6,U Mumba
AVERAGE TACKLE / MATCH,0.45,young-chang-ko,,,,,0.14,0.84,0.4,U Mumba
TOTAL TACKLES,74,young-chang-ko,,,,,27,34,13,U Mumba
TACKLE STRIKE RATE,31.08 %,young-chang-ko,,,,,7.4 %,44.11 %,46.15 %,U Mumba
MATCHES PLAYED,61,surinder-singh,,,,,22,22,17,U Mumba
TOTAL POINTS EARNED,166,surinder-singh,,,,,58,62,46,U Mumba
MOST POINTS IN A MATCH,9,surinder-singh,,,,,6,7,9,U Mumba
NOT OUT %,84.61 %,surinder-singh,,,,,100 %,100 %,71.42 %,U Mumba
TOTAL RAIDS,13,surinder-singh,,,,,3,3,7,U Mumba
SUCCESSFUL RAIDS %,30.76,surinder-singh,,,,,0,0,57.14,U Mumba
NO OF SUPER RAIDS,1,surinder-singh,,,,,0,0,1,U Mumba
SUPER 10S,0,surinder-singh,,,,,0,0,0,U Mumba
TOTAL RAID POINTS,4,surinder-singh,,,,,0,0,4,U Mumba
AVERAGE RAID POINTS / MATCH,0.06,surinder-singh,,,,,0,0,0.23,U Mumba
NO OF SUPER TACKLES,5,surinder-singh,,,,,0,3,2,U Mumba
HIGH 5S,7,surinder-singh,,,,,3,2,2,U Mumba
TOTAL TACKLE POINTS,162,surinder-singh,,,,,58,62,42,U Mumba
AVERAGE TACKLE / MATCH,2.57,surinder-singh,,,,,2.63,2.68,2.35,U Mumba
TOTAL TACKLES,374,surinder-singh,,,,,152,127,95,U Mumba
TACKLE STRIKE RATE,43.31 %,surinder-singh,,,,,38.15 %,48.81 %,44.21 %,U Mumba
MATCHES PLAYED,2,ajinkya-kapre,,,,,,,2,U Mumba
TOTAL POINTS EARNED,1,ajinkya-kapre,,,,,,,1,U Mumba
MOST POINTS IN A MATCH,1,ajinkya-kapre,,,,,,,1,U Mumba
NOT OUT %,60 %,ajinkya-kapre,,,,,,,60 %,U Mumba
TOTAL RAIDS,5,ajinkya-kapre,,,,,,,5,U Mumba
SUCCESSFUL RAIDS %,20,ajinkya-kapre,,,,,,,20,U Mumba
NO OF SUPER RAIDS,0,ajinkya-kapre,,,,,,,0,U Mumba
SUPER 10S,0,ajinkya-kapre,,,,,,,0,U Mumba
TOTAL RAID POINTS,1,ajinkya-kapre,,,,,,,1,U Mumba
AVERAGE RAID POINTS / MATCH,0.5,ajinkya-kapre,,,,,,,0.5,U Mumba
NO OF SUPER TACKLES,0,ajinkya-kapre,,,,,,,0,U Mumba
HIGH 5S,0,ajinkya-kapre,,,,,,,0,U Mumba
TOTAL TACKLE POINTS,0,ajinkya-kapre,,,,,,,0,U Mumba
AVERAGE TACKLE / MATCH,0,ajinkya-kapre,,,,,,,0,U Mumba
TOTAL TACKLES,1,ajinkya-kapre,,,,,,,1,U Mumba
TACKLE STRIKE RATE,0,ajinkya-kapre,,,,,,,0,U Mumba
MATCHES PLAYED,0,mohit-balyan,,,,,,0,0,U Mumba
TOTAL POINTS EARNED,0,mohit-balyan,,,,,,0,0,U Mumba
MOST POINTS IN A MATCH,0,mohit-balyan,,,,,,0,0,U Mumba
NOT OUT %,0,mohit-balyan,,,,,,0,0,U Mumba
TOTAL RAIDS,0,mohit-balyan,,,,,,0,0,U Mumba
SUCCESSFUL RAIDS %,0,mohit-balyan,,,,,,0,0,U Mumba
NO OF SUPER RAIDS,0,mohit-balyan,,,,,,0,0,U Mumba
SUPER 10S,0,mohit-balyan,,,,,,0,0,U Mumba
TOTAL RAID POINTS,0,mohit-balyan,,,,,,0,0,U Mumba
AVERAGE RAID POINTS / MATCH,0,mohit-balyan,,,,,,0,0,U Mumba
NO OF SUPER TACKLES,0,mohit-balyan,,,,,,0,0,U Mumba
HIGH 5S,0,mohit-balyan,,,,,,0,0,U Mumba
TOTAL TACKLE POINTS,0,mohit-balyan,,,,,,0,0,U Mumba
AVERAGE TACKLE / MATCH,0,mohit-balyan,,,,,,0,0,U Mumba
TOTAL TACKLES,0,mohit-balyan,,,,,,0,0,U Mumba
TACKLE STRIKE RATE,0,mohit-balyan,,,,,,0,0,U Mumba
MATCHES PLAYED,118,sandeep-narwal,16,16,14,16,21,18,17,U Mumba
TOTAL POINTS EARNED,537,sandeep-narwal,119,83,64,66,85,66,54,U Mumba
MOST POINTS IN A MATCH,14,sandeep-narwal,14,11,11,7,9,7,6,U Mumba
NOT OUT %,86.19 %,sandeep-narwal,80.45 %,81.5 %,98.18 %,89.77 %,93.16 %,87.2 %,82.35 %,U Mumba
TOTAL RAIDS,717,sandeep-narwal,174,146,55,88,117,86,51,U Mumba
SUCCESSFUL RAIDS %,33.89,sandeep-narwal,52.87,31.5,16.36,27.27,28.2,29.06,27.45,U Mumba
NO OF SUPER RAIDS,11,sandeep-narwal,8,1,0,0,1,1,0,U Mumba
SUPER 10S,1,sandeep-narwal,1,0,0,0,0,0,0,U Mumba
TOTAL RAID POINTS,243,sandeep-narwal,92,46,9,24,33,25,14,U Mumba
AVERAGE RAID POINTS / MATCH,2.05,sandeep-narwal,5.75,2.87,0.64,1.5,1.57,1.38,0.82,U Mumba
NO OF SUPER TACKLES,28,sandeep-narwal,6,3,2,2,3,7,5,U Mumba
HIGH 5S,16,sandeep-narwal,2,2,6,3,1,1,1,U Mumba
TOTAL TACKLE POINTS,294,sandeep-narwal,27,37,55,42,52,41,40,U Mumba
AVERAGE TACKLE / MATCH,2.25,sandeep-narwal,1.31,2.12,3.78,2.5,2.33,1.88,2.05,U Mumba
TOTAL TACKLES,538,sandeep-narwal,41,71,95,83,102,81,65,U Mumba
TACKLE STRIKE RATE,54.64 %,sandeep-narwal,65.85 %,52.11 %,57.89 %,50.6 %,50.98 %,50.61 %,61.53 %,U Mumba
MATCHES PLAYED,61,nitesh-kumar,,,,,19,25,17,U.P. Yoddha
TOTAL POINTS EARNED,192,nitesh-kumar,,,,,47,101,44,U.P. Yoddha
MOST POINTS IN A MATCH,8,nitesh-kumar,,,,,5,8,7,U.P. Yoddha
